LevelNum,Level1,Level2,Level3,Level4
3,,,Pedicabs,
3,,,Public Transportation,
3,,,Shared Taxis,
3,,,Taxis,
3,,,Trains,
3,,,Water Taxis,
2,,Travel Services,,
2,,Vacation Rental Agents,,
2,,Vacation Rentals,,
1,Local Flavor,,,
2,,Unofficial Yelp Events,,
2,,Yelp Events,,
1,Local Services,,,
2,,3D Printing,,
2,,Adoption Services,,
2,,Appliances & Repair,,
2,,Appraisal Services,,
2,,Art Restoration,,
2,,Bail Bondsmen,,
2,,Bike Repair/Maintenance,,
2,,Bookbinding,,
2,,Bus Rental,,
2,,Carpet Cleaning,,
2,,Child Care & Day Care,,
2,,Community Gardens,,
2,,Community Service/Non-Profit,,
3,,,Food Banks,
2,,Couriers & Delivery Services,,
2,,Dry Cleaning & Laundry,,
2,,Elder Care Planning,,
2,,Electronics Repair,,
2,,Engraving,,
2,,Farm Equipment Repair,,
2,,Funeral Services & Cemeteries,,
2,,Furniture Rental,,
2,,Furniture Repair,,
2,,Furniture Reupholstery,,
2,,IT Services & Computer Repair,,
3,,,Data Recovery,
3,,,Mobile Phone Repair,
3,,,Telecommunications,
2,,Internet Booths & Calling Centers,,
2,,Jewelry Repair,,
2,,Junk Removal & Hauling,,
2,,Knife Sharpening,,
2,,Machine & Tool Rental,,
2,,Mailbox Centers,,
2,,Metal Fabricators,,
2,,Musical Instrument Services,,
3,,,Guitar Stores,
3,,,Piano Services,
3,,,Piano Stores,
2,,Nanny Services,,
2,,Notaries,,
2,,Pest Control,,
2,,Powder Coating,,
2,,Printing Services,,
2,,Propane,,
2,,Record Labels,,
2,,Recording & Rehearsal Studios,,
2,,Recycling Center,,
2,,Screen Printing,,
2,,Screen Printing/T-Shirt Printing,,
2,,Self Storage,,
2,,Septic Services,,
2,,Sewing & Alterations,,
2,,Shipping Centers,,
2,,Shoe Repair,,
2,,Snow Removal,,
2,,Watch Repair,,
2,,Water Delivery,,
2,,Youth Club,,
1,Mass Media,,,
2,,Print Media,,
2,,Radio Stations,,
2,,Television Stations,,
1,Nightlife,,,
2,,Adult Entertainment,,
2,,Bars,,
3,,,Absinthe Bars,
3,,,Airport Lounges,
3,,,Beach Bars,
3,,,Beer Bar,
3,,,Champagne Bars,
3,,,Cocktail Bars,
3,,,Dive Bars,
3,,,Drive-Thru Bars,
3,,,Gay Bars,
3,,,Hookah Bars,
3,,,Hotel bar,
3,,,Irish Pub,
3,,,Lounges,
3,,,Pubs,
3,,,Sake Bars,
3,,,Sports Bars,
3,,,Tabac,
3,,,Wine Bars,
2,,Beer Gardens,,
2,,Coffeeshops,,
2,,Comedy Clubs,,
2,,Country Dance Halls,,
2,,Dance Clubs,,
2,,Dance Restaurants,,
2,,Fasil Music,,
2,,Jazz & Blues,,
2,,Karaoke,,
2,,Music Venues,,
2,,Piano Bars,,
2,,Pool Halls,,
1,Pets,,,
2,,Animal Shelters,,
2,,Horse Boarding,,
2,,Pet Adoption,,
2,,Pet Services,,
3,,,Aquarium Services,
3,,,Dog Walkers,
3,,,Pet Boarding/Pet Sitting,
3,,,Pet Groomers,
3,,,Pet Training,
2,,Pet Stores,,
2,,Veterinarians,,
1,Professional Services,,,
2,,Accountants,,
2,,Advertising,,
2,,Architects,,
2,,Boat Repair,,
2,,Business Consulting,,
2,,Career Counseling,,
2,,Editorial Services,,
2,,Employment Agencies,,
2,,Graphic Design,,
2,,Internet Service Providers,,
2,,Lawyers,,
3,,,Bankruptcy Law,
3,,,Business Law,
3,,,Criminal Defense Law,
3,,,DUI Law,
3,,,Divorce & Family Law,
